Time, Sensor 3, Sensor 2, Sensor 1, Sensor 0, 
941, ,300,300,57.54,
944, ,300,300,57.54,
946, ,300,300,57.54,
949, ,300,300,57.54,
951, ,300,300,57.54,
954, ,300,300,57.54,
956, ,300,300,57.54,
959,300, ,300,57.54,
961,300, ,300,57.54,
964,300, ,300,57.54,
966,300, ,300,57.54,
969,300, ,300,57.54,
971,300, ,300,57.54,
974,300, ,300,57.54,
976,300, ,300,57.54,
979,300, ,300,57.54,
982,300, ,300,57.54,
985,300, ,300,57.54,
987,300, ,300,57.54,
990,300, ,300,57.54,
992,300, ,300,57.54,
995,300,300, ,57.54,
997,300,300, ,57.54,
1000,300,300, ,57.54,
1002,300,300, ,57.54,
1005,300,300, ,57.54,
1008,300,300, ,57.54,
1010,300,300, ,57.54,
1013,300,300, ,57.54,
1015,300,300, ,57.54,
1018,300,300, ,57.54,
1020,300,300, ,57.54,
1024,300,300, ,57.54,
1027,300,300, ,57.54,
1029,300,300,300, ,
1032,300,300,300, ,
1034,300,300,300, ,
1037,300,300,300, ,
1040,300,300,300, ,
1042,300,300,300, ,
1045,300,300,300, ,
1048,300,300,300, ,
1050,300,300,300, ,
1053,300,300,300, ,
1056,300,300,300, ,
1058,300,300,300, ,
1061,300,300,300, ,
1064,300,300,300,57.54,
1068, ,300,300,57.54,
1070, ,300,300,57.54,
1073, ,300,300,57.54,
1075, ,300,300,57.54,
1078, ,300,300,57.54,
1081, ,300,300,57.54,
1083, ,300,300,57.54,
1086, ,300,300,57.54,
1088, ,300,300,57.54,
1091, ,300,300,57.54,
1093, ,300,300,57.54,
1096, ,300,300,57.54,
1099, ,300,300,57.54,
1101,300, ,300,57.54,
1104,300, ,300,57.54,
1106,300, ,300,57.54,
1110,300, ,300,57.54,
1112,300, ,300,57.54,
1115,300, ,300,57.54,
1118,300, ,300,57.54,
1120,300, ,300,57.54,
1123,300, ,300,57.54,
1125,300, ,300,57.54,
1128,300, ,300,57.54,
1130,300, ,300,57.54,
1133,300, ,300,57.54,
1136,300,300, ,57.54,
1138,300,300, ,57.54,
1141,300,300, ,57.54,
1143,300,300, ,57.54,
1146,300,300, ,57.54,
1148,300,300, ,57.54,
1152,300,300, ,57.54,
1155,300,300, ,57.54,
1157,300,300, ,57.54,
1160,300,300, ,57.54,
1162,300,300, ,57.54,
1165,300,300, ,57.54,
1167,300,300, ,57.54,
1170,300,300,300, ,
1173,300,300,300, ,
1175,300,300,300, ,
1178,300,300,300, ,
1181,300,300,300, ,
1183,300,300,300, ,
1186,300,300,300, ,
1189,300,300,300, ,
1191,300,300,300, ,
1195,300,300,300, ,
1198,300,300,300, ,
1200,300,300,300, ,
1203,300,300,300, ,
1206,300,300,300,57.54,
1209, ,300,300,57.54,
1211, ,300,300,57.54,
1214, ,300,300,57.54,
1216, ,300,300,57.54,
1219, ,300,300,57.54,
1222, ,300,300,57.54,
1224, ,300,300,57.54,
1227, ,300,300,57.54,
1229, ,300,300,57.54,
1232, ,300,300,57.54,
1234, ,300,300,57.54,
1238, ,300,300,57.54,
1241, ,300,300,57.54,
1243,300, ,300,57.54,
1246,300, ,300,57.54,
1248,300, ,300,57.54,
1251,300, ,300,57.54,
1253,300, ,300,57.54,
1256,300, ,300,57.54,
1259,300, ,300,57.54,
1261,300, ,300,57.54,
1264,300, ,300,57.54,
1266,300, ,300,57.54,
1269,300, ,300,57.54,
1271,300, ,300,57.54,
1274,300, ,300,57.54,
1277,300,300, ,57.54,
1280,300,300, ,57.54,
1283,300,300, ,57.54,
1285,300,300, ,57.54,
1288,300,300, ,57.54,
1290,300,300, ,57.54,
1293,300,300, ,57.54,
1296,300,300, ,57.54,
1298,300,300, ,57.54,
1301,300,300, ,57.54,
1303,300,300, ,57.54,
1306,300,300, ,57.54,
1308,300,300, ,57.54,
1311,300,300,300, ,
1314,300,300,300, ,
1316,300,300,300, ,
1319,300,300,300, ,
1323,300,300,300, ,
1325,300,300,300, ,
1328,300,300,300, ,
1331,300,300,300, ,
1333,300,300,300, ,
1336,300,300,300, ,
1339,300,300,300, ,
1341,300,300,300, ,
1344,300,300,300, ,
1347,300,300,300,57.54,
1350, ,300,300,57.54,
1352, ,300,300,57.54,
1355, ,300,300,57.54,
1357, ,300,300,57.54,
1360, ,300,300,57.54,
1362, ,300,300,57.54,
1366, ,300,300,57.54,
1369, ,300,300,57.54,
1371, ,300,300,57.54,
1374, ,300,300,57.54,
1376, ,300,300,57.54,
1379, ,300,300,57.54,
1381, ,300,300,57.54,
1384,300, ,300,57.54,
1387,300, ,300,57.54,
1389,300, ,300,57.54,
1392,300, ,300,57.54,
1394,300, ,300,57.54,
1397,300, ,300,57.54,
1400,300, ,300,57.54,
1402,300, ,300,57.54,
1405,300, ,300,57.54,
1408,300, ,300,57.54,
1411,300, ,300,57.54,
1413,300, ,300,57.54,
1416,300, ,300,57.54,
1419,300,300, ,57.54,
1421,300,300, ,57.54,
1424,300,300, ,57.54,
1426,300,300, ,57.54,
1429,300,300, ,57.54,
1431,300,300, ,57.54,
1434,300,300, ,57.54,
1437,300,300, ,57.54,
1439,300,300, ,57.54,
1442,300,300, ,57.54,
1444,300,300, ,57.54,
1447,300,300, ,57.54,
1449,300,300, ,57.54,
1453,300,300,300, ,
1456,300,300,300, ,
1458,300,300,300, ,
1461,300,300,300, ,
